der Durst; (Sg.)
der Hunger; (Sg.)
das Geschirr; (Sg.)
das Kochbuch; Kochbücher
die Pfanne; Pfannen
das Sieb; Siebe
der Topf; Töpfe
die Bohne; Bohnen
die Currywurst; Currywürste
die Kantine; Kantinen
das Rindfleich; (Sg.)
die Zitrone; Zitronen
das Fernsehen; (Sg.)
die Dunkelheit; (Sg.) :en:darkness
der Eindruck; Eindrücke :en:Impression
die Erfahrung; Erfahrungen :en:Experience
das Erlebnis; Erlebnisse :en:Experience
der Gedanke; Gedanken :en:Thought
der Geruch; Gerüche :en:Smell
das Licht; Lichter
das Menü; Menüs
die Sorge; Sorgen :en:Worry
der Gegenstand; Gegenstände
der Kleber; Kleber
das Parfum; Parfums
der Sinn; Sinne

die Klasse; Klassen
das Klassenzimmer; Klassenzimmer
die Hausaufgabe; Hausaufgaben
die Schuluniform; Schuluniformen
die Stunde; Stunden
die Stundenplan; Stundenpläne
der Unterricht; (Sg.)
die Pause; Pausen
die Ferien; (Pl.)
das Fach; Fächer :en:Field of expertise:tr:Ders alani
die Fremdsprache; Fremdsprachen
das Lieblingsfach; Lieblingsfächer
die Note; Noten
das Zeugnis; Zeugnisse
der Fehler; Fehler
die Prüfung; Prüfungen
der Test; Tests
der Abendkurs; Abendkurse
die Arbeitswelt; (Sg.)
die Ausbildung; Ausbildungen
das Berufsleben; (Sg.)
die Berufsschule; Berufsschulen
die Karriere; Karrieren
der Kontakt; Kontakte
die Lehre; Lehren :tr:Ogretim
das Praktikum; Praktika
der Plan; Pläne
die Vorbereitung; Vorbereitungen
die Zukunft; (Sg.)
die Universität; Universitäten
das Seminar; Seminare
das Semester; Semester
der Professor; Professoren
die Professorin; Professorinnen
die Vorlesung; Vorlesungen :en:lecture
die Grundschule; Grundschulen
die Hauptschule; Hauptschulen
die Realschule; Realschulen
die Gesamtschule; Gesamtschulen
das Gymnasium; Gymnasien
das Abitur; Abiture
der Abschluss; Abschlüsse
das Internat; Internate :en:Boarding school
die Ausstellung; Ausstellungen :en:Exhibition
der Besuch; Besuche
der Tipp; Tipps
die Erinnerung; Erinnerungen

